iter	Passed	Remaining
736	77632	6636
737	77731	6530
738	77829	6424
739	77936	6319
740	78035	6213
741	78134	6107
742	78241	6002
743	78349	5897
744	78449	5791
745	78547	5685
746	78647	5580
747	78752	5474
748	78857	5369
749	78956	5263
750	79058	5158
751	79198	5055
752	79299	4949
753	79397	4843
754	79496	4738
755	79600	4632
756	79699	4527
757	79797	4421
758	79899	4316
759	80001	4210
760	80101	4105
761	80200	3999
762	80298	3893
763	80391	3788
764	80491	3682
765	80587	3576
766	80685	3471
767	80787	3366
768	80887	3260
769	80980	3155
770	81084	3049
771	81180	2944
772	81280	2839
773	81379	2733
774	81476	2628
775	81575	2522
776	81697	2418
777	81795	2312
778	81895	2207
779	82010	2102
780	82114	1997
781	82211	1892
782	82314	1787
783	82414	1681
784	82513	1576
785	82616	1471
786	82711	1366
787	82809	1261
788	82910	1155
789	83007	1050
790	83104	945
791	83203	840
792	83306	735
793	83403	630
794	83502	525
795	83600	420
796	83692	315
797	83789	209
798	83885	104
799	83985	0
