기준_년분기_코드,자치구_코드,자치구_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총_금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20242,11545,금천구,2632285.0,06,74531440000.0,16127021000.0,13346786000.0,1131244000.0,9214178000.0,3711147000.0,1608042000.0,1774020000.0,11551671000.0,2190171000.0,13877160000.0
20242,11170,용산구,3971498.0,08,262886393000.0,151357169000.0,3483070000.0,8078265000.0,5790965000.0,2734694000.0,1627184000.0,3108522000.0,25468449000.0,27442505000.0,33795570000.0
20242,11590,동작구,3454170.0,07,184191389000.0,25083858000.0,1417762000.0,1498642000.0,16922171000.0,98776589000.0,4521986000.0,2544946000.0,4395424000.0,4361703000.0,24668308000.0
20242,11650,서초구,4912401.0,09,620118510000.0,23193460000.0,5627117000.0,14623878000.0,64445170000.0,6511267000.0,13492072000.0,4652029000.0,257913782000.0,181188434000.0,48471301000.0
20242,11140,중구,3513603.0,07,2716766342000.0,41207950000.0,9236817000.0,6325553000.0,14832447000.0,409268936000.0,26224473000.0,3213919000.0,2095926423000.0,73092428000.0,37437396000.0
20251,11260,중랑구,2598785.0,06,66530182000.0,20194598000.0,1395684000.0,1017951000.0,11444607000.0,4845399000.0,2454787000.0,2486736000.0,3501045000.0,2624923000.0,16564452000.0
20252,11260,중랑구,2598785.0,06,68222026000.0,20024256000.0,1487558000.0,1105303000.0,11476168000.0,4825599000.0,2555512000.0,2610533000.0,3638992000.0,2467220000.0,18030885000.0
20252,11470,양천구,3796034.0,08,107661539000.0,25034664000.0,1396680000.0,1062723000.0,22842394000.0,5867181000.0,13754579000.0,1829638000.0,11490628000.0,3639494000.0,20743558000.0
20252,11320,도봉구,2785111.0,06,51379751000.0,15119053000.0,1010630000.0,915001000.0,7539250000.0,4907546000.0,2575505000.0,1383112000.0,2892020000.0,1919147000.0,13118487000.0
20252,11380,은평구,2912739.0,06,90599856000.0,22478922000.0,4046486000.0,1682280000.0,20649443000.0,4376087000.0,5093746000.0,2753941000.0,4235843000.0,3591563000.0,21691545000.0
20252,11530,구로구,2994059.0,07,1984837896000.0,25364646000.0,1541908000.0,1804137000.0,24847429000.0,3897043000.0,3792648000.0,2391601000.0,1894096337000.0,4432131000.0,22670016000.0
20252,11680,강남구,4943841.0,09,2690262619000.0,39502574000.0,28897502000.0,5050403000.0,132189747000.0,25643143000.0,35983932000.0,8696543000.0,1458539022000.0,877503342000.0,78256411000.0
20252,11200,성동구,3734499.0,07,111614407000.0,20306270000.0,5698878000.0,1095140000.0,14721984000.0,6668162000.0,3156275000.0,2134272000.0,17072161000.0,13962422000.0,26798843000.0
20252,11230,동대문구,3030256.0,07,91374946000.0,26067507000.0,2588459000.0,1445948000.0,22012651000.0,4837254000.0,3277873000.0,1925259000.0,4721227000.0,2316042000.0,22182726000.0
20252,11410,서대문구,3417706.0,07,132769976000.0,16949277000.0,1312871000.0,812758000.0,77783617000.0,2881289000.0,4130988000.0,1621934000.0,4181711000.0,2985092000.0,20110439000.0
20252,11440,마포구,3832436.0,08,227849217000.0,30401267000.0,7126065000.0,2044783000.0,20513781000.0,3186746000.0,9153145000.0,6910530000.0,86807541000.0,8419244000.0,53286115000.0
20252,11560,영등포구,3604887.0,07,1788658421000.0,26183098000.0,4327438000.0,2937386000.0,27285191000.0,111214880000.0,3834943000.0,3791691000.0,1537824487000.0,24713865000.0,46545442000.0
20252,11620,관악구,2771927.0,06,115714013000.0,29439311000.0,2777161000.0,1321251000.0,18680473000.0,3206735000.0,14074989000.0,4396195000.0,7106130000.0,4482323000.0,30229445000.0
20252,11710,송파구,3995905.0,08,336242667000.0,38101391000.0,7068633000.0,3736489000.0,39305378000.0,8222080000.0,10717559000.0,4335780000.0,166891496000.0,7998696000.0,49865165000.0
20252,11110,종로구,3725859.0,07,220175332000.0,16795135000.0,5436063000.0,1085373000.0,24765031000.0,5666870000.0,2949820000.0,4434113000.0,15186633000.0,95205804000.0,48650490000.0
20252,11290,성북구,3281773.0,07,84383556000.0,23020391000.0,1747674000.0,1076090000.0,11937876000.0,5538977000.0,4214742000.0,2374220000.0,7328182000.0,3258845000.0,23886559000.0
20252,11305,강북구,2547460.0,06,60103519000.0,14867555000.0,1585405000.0,1179059000.0,11776861000.0,3268785000.0,1506630000.0,2382862000.0,3582876000.0,3125060000.0,16828426000.0
20252,11350,노원구,3195375.0,07,123836297000.0,38024287000.0,1698904000.0,1448002000.0,21937079000.0,4353636000.0,8730586000.0,2841610000.0,11792467000.0,4911938000.0,28097788000.0
20252,11545,금천구,2632285.0,06,71606330000.0,15253495000.0,11976760000.0,1037049000.0,9724618000.0,3942969000.0,1429439000.0,1654252000.0,11043547000.0,1884537000.0,13659664000.0
20252,11170,용산구,3971498.0,08,262759531000.0,156257900000.0,3227641000.0,6563356000.0,6075146000.0,3038465000.0,1386855000.0,2997422000.0,21311165000.0,27341447000.0,34560134000.0
20252,11590,동작구,3454170.0,07,167931470000.0,25720230000.0,1301385000.0,1787490000.0,18593280000.0,80591960000.0,4510639000.0,2088339000.0,4488214000.0,3800602000.0,25049331000.0
20252,11650,서초구,4912401.0,09,637351297000.0,22390349000.0,5221820000.0,12386039000.0,66190257000.0,6119069000.0,12373261000.0,4033343000.0,279483456000.0,182090087000.0,47063616000.0
20252,11140,중구,3513603.0,07,3099455869000.0,36418514000.0,8980240000.0,5860635000.0,14510632000.0,469305291000.0,21744992000.0,2764790000.0,2427277258000.0,75012370000.0,37581147000.0
20252,11215,광진구,3192971.0,07,98628825000.0,22265911000.0,2775448000.0,2043520000.0,16114368000.0,5834775000.0,3575893000.0,3566639000.0,6406038000.0,4627904000.0,31418329000.0
20252,11500,강서구,3160623.0,07,223597629000.0,31880624000.0,5995072000.0,2025220000.0,33727145000.0,29681657000.0,7159353000.0,4083666000.0,56849622000.0,16654924000.0,35540346000.0
20252,11740,강동구,3292857.0,07,153036058000.0,22218893000.0,2286072000.0,1377611000.0,21832984000.0,3318637000.0,6671614000.0,2409501000.0,64069792000.0,3867347000.0,24983607000.0
20222,11140,중구,3513603.0,07,2348943004000.0,40471012000.0,8579349000.0,7497707000.0,13073571000.0,390635739000.0,26632576000.0,3518914000.0,1783410100000.0,42799430000.0,32324606000.0
20221,11215,광진구,3192971.0,07,74897944000.0,18667844000.0,2616799000.0,1848391000.0,11151625000.0,5411447000.0,2806607000.0,2591745000.0,5274123000.0,3621497000.0,20907866000.0
20221,11440,마포구,3832436.0,08,1002806919000.0,27160737000.0,5648608000.0,2756122000.0,16447610000.0,3288881000.0,7669009000.0,4661471000.0,889528064000.0,7479184000.0,38167233000.0
20221,11530,구로구,2994059.0,07,1240313685000.0,24183841000.0,1029666000.0,2122169000.0,19547307000.0,2995006000.0,3249239000.0,1543844000.0,1167706440000.0,2533442000.0,15402731000.0
20221,11560,영등포구,3604887.0,07,254923654000.0,26746765000.0,3563170000.0,2402364000.0,18227018000.0,93621182000.0,2871977000.0,2443961000.0,35816623000.0,36788730000.0,32441864000.0
20221,11620,관악구,2771927.0,06,96838207000.0,28019445000.0,2236083000.0,1665405000.0,14446829000.0,2651000000.0,13743302000.0,2853872000.0,5639110000.0,3868973000.0,21714188000.0
20221,11320,도봉구,2785111.0,06,41451493000.0,13527721000.0,612087000.0,966297000.0,5804505000.0,4608659000.0,2019193000.0,751490000.0,2459774000.0,1523239000.0,9178528000.0
20221,11545,금천구,2632285.0,06,59631708000.0,15039159000.0,13431140000.0,989689000.0,7332521000.0,3442882000.0,1261213000.0,916544000.0,5072073000.0,1880642000.0,10265845000.0
20221,11590,동작구,3454170.0,07,144887601000.0,22242039000.0,788341000.0,1121267000.0,14465406000.0,77861147000.0,3585845000.0,1410144000.0,5142503000.0,2872736000.0,15398173000.0
20221,11350,노원구,3195375.0,07,103436633000.0,36467624000.0,1183247000.0,1659608000.0,15566506000.0,3519815000.0,7411229000.0,1696197000.0,12347882000.0,4008264000.0,19576261000.0
20221,11410,서대문구,3417706.0,07,133884343000.0,14915620000.0,930990000.0,829780000.0,91376614000.0,2517976000.0,2842057000.0,1081879000.0,3121787000.0,2721315000.0,13546325000.0
20221,11650,서초구,4912401.0,09,596366895000.0,20047365000.0,3612248000.0,15315204000.0,74614128000.0,5998865000.0,11810796000.0,2981410000.0,251367750000.0,176561864000.0,34057265000.0
20221,11260,중랑구,2598785.0,06,55422406000.0,17804278000.0,1057725000.0,1303723000.0,10374268000.0,3927081000.0,2402584000.0,1341401000.0,3124233000.0,2325559000.0,11761554000.0
20221,11290,성북구,3281773.0,07,66493355000.0,20306122000.0,1343195000.0,1087707000.0,8708988000.0,5407805000.0,3604479000.0,1261555000.0,6368722000.0,2654477000.0,15750305000.0
20221,11500,강서구,3160623.0,07,176633491000.0,31485472000.0,4582565000.0,2153919000.0,46849008000.0,20998633000.0,5489794000.0,2456415000.0,20928106000.0,15474868000.0,26214711000.0
20221,11710,송파구,3995905.0,08,173830835000.0,38392077000.0,6126862000.0,4694465000.0,37568641000.0,9821978000.0,9161632000.0,3273866000.0,25237188000.0,6950171000.0,32603955000.0
20221,11200,성동구,3734499.0,07,72285116000.0,19280536000.0,2047265000.0,1252853000.0,11876958000.0,6718420000.0,3397131000.0,1591332000.0,4104161000.0,3457351000.0,18559109000.0
20221,11305,강북구,2547460.0,06,49010261000.0,14005816000.0,1157593000.0,1088000000.0,9101246000.0,3452370000.0,1369662000.0,1550046000.0,3084747000.0,2375150000.0,11825631000.0
20221,11470,양천구,3796034.0,08,264194023000.0,26303705000.0,1098862000.0,1244964000.0,17366090000.0,7162484000.0,10970263000.0,1313471000.0,180424436000.0,3197002000.0,15112746000.0
20221,11110,종로구,3725859.0,07,312455980000.0,12406032000.0,7067154000.0,1502402000.0,18482448000.0,1707475000.0,5579478000.0,2243161000.0,160180484000.0,74347538000.0,28939808000.0
