기준_년분기_코드,자치구_코드_명,전체임대료
2022년 2분기,도봉구,90393
2022년 2분기,노원구,109781
2022년 2분기,은평구,104371
2022년 2분기,서대문구,105969
2022년 2분기,마포구,147891
2022년 2분기,양천구,104720
2022년 2분기,강서구,118468
2022년 2분기,구로구,118674
2022년 2분기,금천구,92108
2022년 2분기,영등포구,110516
2022년 2분기,동작구,155213
2022년 2분기,관악구,111243
2022년 2분기,서초구,133877
2022년 2분기,강남구,164298
2022년 2분기,송파구,159594
2022년 2분기,강동구,107492
2023년 2분기,서울시 전체,141418
2023년 2분기,종로구,197186
2023년 2분기,중구,292292
2023년 2분기,용산구,142058
2023년 2분기,성동구,225218
2023년 2분기,광진구,106205
2023년 2분기,동대문구,94172
2023년 2분기,중랑구,82183
2023년 2분기,성북구,99996
2023년 2분기,강북구,84816
2023년 2분기,도봉구,124755
2023년 2분기,노원구,116570
2023년 2분기,은평구,93629
2023년 2분기,서대문구,127009
2023년 2분기,마포구,141777
2023년 2분기,양천구,119317
2023년 2분기,강서구,133012
2023년 2분기,구로구,129738
2023년 2분기,금천구,105422
2023년 2분기,영등포구,122432
2023년 2분기,동작구,131720
2023년 2분기,관악구,114779
2023년 2분기,서초구,139196
2023년 2분기,강남구,173069
2023년 2분기,송파구,146868
2023년 2분기,강동구,118777
2024년 2분기,서울시 전체,136071
2024년 2분기,종로구,195617
2024년 2분기,중구,269374
2024년 2분기,용산구,125065
2024년 2분기,성동구,136247
2024년 2분기,광진구,106244
2024년 2분기,동대문구,91638
2024년 2분기,중랑구,89195
2024년 2분기,성북구,111710
2024년 2분기,강북구,90963
2024년 2분기,도봉구,105693
2024년 2분기,노원구,115201
2024년 2분기,은평구,100741
2024년 2분기,서대문구,134820
2024년 2분기,마포구,144081
2024년 2분기,양천구,108209
2024년 2분기,강서구,129606
2024년 2분기,구로구,130869
2024년 2분기,금천구,115814
2024년 2분기,영등포구,116223
2024년 2분기,동작구,140897
2024년 2분기,관악구,119153
2024년 2분기,서초구,142327
2024년 2분기,강남구,181017
2024년 2분기,송파구,130984
2024년 2분기,강동구,119185
2022년 3분기,서울시 전체,136783
2022년 3분기,종로구,203586
2022년 3분기,중구,260298
2022년 3분기,용산구,135662
2022년 3분기,성동구,160420
2022년 3분기,광진구,113264
2022년 3분기,동대문구,96065
2022년 3분기,중랑구,87818
2022년 3분기,성북구,105457
2022년 3분기,강북구,90954
2022년 3분기,도봉구,89789
2022년 3분기,노원구,116772
2022년 3분기,은평구,105389
2022년 3분기,서대문구,115449
2022년 3분기,마포구,162792
2022년 3분기,양천구,104033
2022년 3분기,강서구,114428
2022년 3분기,구로구,134608
2022년 3분기,금천구,94403
2022년 3분기,영등포구,113735
2022년 3분기,동작구,135775
2022년 3분기,관악구,108903
2022년 3분기,서초구,134368
2022년 3분기,강남구,171725
2022년 3분기,송파구,167367
2022년 3분기,강동구,111342
2023년 3분기,서울시 전체,138835
2023년 3분기,종로구,200889
2023년 3분기,중구,277839
2023년 3분기,용산구,140096
2023년 3분기,성동구,195176
2023년 3분기,광진구,103816
2023년 3분기,동대문구,92442
2023년 3분기,중랑구,87387
2023년 3분기,성북구,106443
2023년 3분기,강북구,82743
2023년 3분기,도봉구,132253
2023년 3분기,노원구,114559
2023년 3분기,은평구,92679
2023년 3분기,서대문구,130294
2023년 3분기,마포구,135340
2023년 3분기,양천구,115840
2023년 3분기,강서구,123036
2023년 3분기,구로구,133486
2023년 3분기,금천구,107607
2023년 3분기,영등포구,118001
2023년 3분기,동작구,144797
2023년 3분기,관악구,115782
2023년 3분기,서초구,134978
2023년 3분기,강남구,170684
2023년 3분기,송파구,136609
2023년 3분기,강동구,119949
2024년 3분기,서울시 전체,135190
2024년 3분기,종로구,190088
