기준_년분기_코드,자치구_코드,자치구_코드_명,총_직장인구_수,남성_직장인구_수,여성_직장인구_수,연령대_10_직장인구_수,연령대_20_직장인구_수,연령대_30_직장인구_수,연령대_40_직장인구_수,연령대_50_직장인구_수,연령대_60_이상_직장인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20241,11200,성동구,77165.0,47902.0,29263.0,80.0,13004.0,19185.0,18758.0,16144.0,9994.0,58.0,6394.0,12045.0,12187.0,10100.0,7118.0,22.0,6610.0,7140.0,6571.0,6044.0,2876.0
20242,11215,광진구,40300.0,25573.0,14727.0,43.0,6124.0,8411.0,10016.0,10727.0,4979.0,5.0,2986.0,5242.0,6552.0,7080.0,3708.0,38.0,3138.0,3169.0,3464.0,3647.0,1271.0
20214,11230,동대문구,52406.0,29559.0,22847.0,0.0,7777.0,11566.0,12461.0,12001.0,8601.0,0.0,3910.0,6904.0,6993.0,6247.0,5505.0,0.0,3867.0,4662.0,5468.0,5754.0,3096.0
20213,11230,동대문구,51902.0,29182.0,22720.0,10.0,7788.0,11400.0,12263.0,11862.0,8579.0,10.0,3935.0,6776.0,6858.0,6167.0,5436.0,0.0,3853.0,4624.0,5405.0,5695.0,3143.0
20212,11230,동대문구,51902.0,29182.0,22720.0,10.0,7788.0,11400.0,12263.0,11862.0,8579.0,10.0,3935.0,6776.0,6858.0,6167.0,5436.0,0.0,3853.0,4624.0,5405.0,5695.0,3143.0
20211,11230,동대문구,51902.0,29182.0,22720.0,10.0,7788.0,11400.0,12263.0,11862.0,8579.0,10.0,3935.0,6776.0,6858.0,6167.0,5436.0,0.0,3853.0,4624.0,5405.0,5695.0,3143.0
20204,11230,동대문구,51902.0,29182.0,22720.0,10.0,7788.0,11400.0,12263.0,11862.0,8579.0,10.0,3935.0,6776.0,6858.0,6167.0,5436.0,0.0,3853.0,4624.0,5405.0,5695.0,3143.0
20203,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20202,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20201,11230,동대문구,52698.0,29540.0,23158.0,54.0,7905.0,11543.0,12442.0,12006.0,8748.0,44.0,3981.0,6811.0,6932.0,6251.0,5521.0,10.0,3924.0,4732.0,5510.0,5755.0,3227.0
20243,11215,광진구,40300.0,25573.0,14727.0,43.0,6124.0,8411.0,10016.0,10727.0,4979.0,5.0,2986.0,5242.0,6552.0,7080.0,3708.0,38.0,3138.0,3169.0,3464.0,3647.0,1271.0
20241,11215,광진구,40300.0,25573.0,14727.0,43.0,6124.0,8411.0,10016.0,10727.0,4979.0,5.0,2986.0,5242.0,6552.0,7080.0,3708.0,38.0,3138.0,3169.0,3464.0,3647.0,1271.0
20251,11680,강남구,1079924.0,662335.0,417589.0,2069.0,214872.0,329426.0,275198.0,180204.0,78155.0,877.0,100201.0,204697.0,188865.0,116356.0,51339.0,1192.0,114671.0,124729.0,86333.0,63848.0,26816.0
20252,11710,송파구,409883.0,256182.0,153701.0,455.0,59879.0,104946.0,109223.0,92010.0,43370.0,169.0,30317.0,65914.0,72692.0,57632.0,29458.0,286.0,29562.0,39032.0,36531.0,34378.0,13912.0
20251,11710,송파구,409883.0,256182.0,153701.0,455.0,59879.0,104946.0,109223.0,92010.0,43370.0,169.0,30317.0,65914.0,72692.0,57632.0,29458.0,286.0,29562.0,39032.0,36531.0,34378.0,13912.0
20251,11740,강동구,51554.0,30293.0,21261.0,0.0,6394.0,11106.0,12040.0,12175.0,9839.0,0.0,2934.0,6461.0,7132.0,7094.0,6672.0,0.0,3460.0,4645.0,4908.0,5081.0,3167.0
