기준_년분기_코드,자치구_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20213,중구,54994355.0,27589995.0,27404360.0,4348148.0,8963295.0,10968518.0,9985666.0,9105699.0,11623030.0,10454988.0,11775937.0,8990456.0,8894123.0,9363836.0,5515015.0,8151009.0,8316533.0,8381152.0,8594962.0,8519681.0,6800410.0,6230609.0
20214,용산구,65725589.0,31362458.0,34363131.0,7920065.0,10447886.0,13213386.0,11393618.0,9343992.0,13406640.0,16907898.0,13837313.0,8043873.0,7996474.0,10712847.0,8227182.0,9355380.0,9406803.0,9431933.0,9411295.0,9458569.0,9349749.0,9311860.0
20214,강동구,111014834.0,51971590.0,59043244.0,18868157.0,13421043.0,17292400.0,17934676.0,16842912.0,26655645.0,30455928.0,22939342.0,12580298.0,12480719.0,17890663.0,14667884.0,15867437.0,15778033.0,15769504.0,15709059.0,15717248.0,15966175.0,16207379.0
20214,성동구,75874853.0,36137074.0,39737779.0,10354152.0,12889689.0,13703735.0,12278266.0,11116964.0,15532046.0,18461598.0,15825753.0,9586013.0,9693868.0,12966574.0,9341048.0,10874240.0,10981756.0,10996904.0,10996344.0,10941168.0,10598712.0,10485729.0
20214,광진구,92811161.0,43237667.0,49573493.0,13451533.0,17661542.0,15682311.0,14183970.0,13531613.0,18300192.0,25844380.0,19046895.0,10205214.0,10173791.0,15084208.0,12456671.0,13243213.0,13156856.0,13155210.0,13152034.0,13173219.0,13410056.0,13520572.0
20214,도봉구,66425922.0,30689500.0,35736422.0,10344786.0,8152400.0,8624297.0,9736823.0,10697577.0,18870039.0,18055280.0,13713114.0,7506126.0,7489316.0,10819731.0,8842355.0,9478930.0,9370676.0,9349188.0,9339138.0,9344301.0,9659114.0,9884574.0
20214,마포구,114118315.0,52361063.0,61757254.0,15594322.0,22588843.0,22295968.0,19529283.0,14608336.0,19501563.0,28248205.0,23136721.0,14216276.0,14501259.0,19755360.0,14260494.0,16225495.0,16339695.0,16391023.0,16398138.0,16422520.0,16300624.0,16040823.0
20214,노원구,100993226.0,46480189.0,54513037.0,18854680.0,13713825.0,12153608.0,15145875.0,15590265.0,25534976.0,26717777.0,20624016.0,11681270.0,11788654.0,16930086.0,13251424.0,14364856.0,14273227.0,14258212.0,14230213.0,14263845.0,14713994.0,14888878.0
20214,강서구,114843767.0,54041316.0,60802452.0,18496469.0,15928523.0,20763865.0,18641321.0,15463671.0,25549917.0,31429522.0,23818960.0,13004279.0,12837809.0,18441512.0,15311684.0,16433575.0,16314859.0,16290227.0,16264348.0,16260800.0,16514801.0,16765158.0
20214,중구,57926596.0,28988601.0,28937995.0,4518557.0,9679803.0,11638886.0,10610962.0,9559447.0,11918940.0,10762155.0,12202267.0,9537477.0,9503545.0,10098695.0,5822458.0,8483016.0,8894243.0,8945853.0,8918692.0,8818889.0,7247612.0,6618291.0
20214,동대문구,105445663.0,50481375.0,54964288.0,13734775.0,20475501.0,15437488.0,15240614.0,15084310.0,25472975.0,27043863.0,22213057.0,12963617.0,12768286.0,17134846.0,13321993.0,15105575.0,15137579.0,15131389.0,15096050.0,15016004.0,14969620.0,14989444.0
20214,양천구,80009867.0,37481446.0,42528420.0,16903514.0,9288944.0,11055383.0,13437254.0,11916646.0,17408125.0,22363018.0,16396915.0,8841293.0,8815455.0,12890388.0,10702798.0,11419604.0,11334897.0,11306176.0,11299752.0,11323254.0,11578810.0,11747374.0
20214,중랑구,101138502.0,47229536.0,53908965.0,14053748.0,13484962.0,15417452.0,15087312.0,16877722.0,26217305.0,27965569.0,20626071.0,11229347.0,11226354.0,16521262.0,13569899.0,14404925.0,14244220.0,14215367.0,14190221.0,14216089.0,14772221.0,15095459.0
20214,관악구,131082454.0,64492665.0,66589789.0,14209253.0,30131051.0,24740092.0,18755782.0,16452187.0,26794092.0,36301305.0,27018835.0,14347144.0,14280670.0,21409680.0,17724821.0,18631042.0,18449079.0,18442119.0,18418872.0,18429884.0,19180846.0,19530613.0
20214,영등포구,107849117.0,52677583.0,55171535.0,13162411.0,16057438.0,21073715.0,18049919.0,16793404.0,22712233.0,26963000.0,22475585.0,13440248.0,13457826.0,18028441.0,13484019.0,15447484.0,15579048.0,15553597.0,15534651.0,15524080.0,15096345.0,15113913.0
20214,서대문구,93134304.0,42711246.0,50423058.0,13327318.0,16779138.0,15431838.0,15175218.0,13405238.0,19015554.0,23569877.0,19523569.0,11549222.0,11502521.0,15305444.0,11683671.0,13402033.0,13539918.0,13528491.0,13518531.0,13426970.0,12866473.0,12851888.0
20214,송파구,125908617.0,59029402.0,66879214.0,21478110.0,16634174.0,21866926.0,20844880.0,18560037.0,26524489.0,33528514.0,26029607.0,14688690.0,14644555.0,20688521.0,16328728.0,18006761.0,17992882.0,17977354.0,17973738.0,17964537.0,17977372.0,18015973.0
