기준_년분기_코드,자치구_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_미만_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수
20193,은평구,483988.0,234102.0,249886.0,76244.0,64961.0,71886.0,80400.0,78051.0,112446.0,39067.0,32032.0,35852.0,39825.0,37447.0,49879.0,37177.0,32929.0,36034.0,40575.0,40604.0,62567.0,204752.0
20193,관악구,503089.0,252991.0,250098.0,59766.0,103183.0,91978.0,73078.0,70744.0,104340.0,30858.0,51096.0,50085.0,39032.0,34705.0,47215.0,28908.0,52087.0,41893.0,34046.0,36039.0,57125.0,261563.0
20193,동작구,392619.0,190932.0,201687.0,57432.0,64395.0,65395.0,60947.0,58666.0,85784.0,29408.0,31860.0,32981.0,30553.0,27959.0,38171.0,28024.0,32535.0,32414.0,30394.0,30707.0,47613.0,175301.0
20193,서초구,433095.0,207573.0,225522.0,83567.0,57053.0,68811.0,79544.0,62496.0,81624.0,42786.0,27788.0,31578.0,37767.0,30359.0,37295.0,40781.0,29265.0,37233.0,41777.0,32137.0,44329.0,172376.0
20193,강남구,541072.0,259055.0,282017.0,99078.0,76342.0,87661.0,99135.0,79199.0,99657.0,51659.0,36815.0,39935.0,46462.0,39120.0,45064.0,47419.0,39527.0,47726.0,52673.0,40079.0,54593.0,228079.0
20193,송파구,663222.0,321999.0,341223.0,115906.0,93712.0,113934.0,109716.0,103224.0,126730.0,59701.0,45735.0,54620.0,53228.0,49661.0,59054.0,56205.0,47977.0,59314.0,56488.0,53563.0,67676.0,268569.0
20193,용산구,225752.0,109132.0,116620.0,31261.0,31897.0,37522.0,36646.0,35777.0,52649.0,16039.0,15508.0,18782.0,18064.0,17639.0,23100.0,15222.0,16389.0,18740.0,18582.0,18138.0,29549.0,107029.0
20193,성동구,308684.0,151546.0,157138.0,45686.0,46644.0,53540.0,49288.0,49811.0,63715.0,23076.0,23331.0,26453.0,24943.0,24811.0,28932.0,22610.0,23313.0,27087.0,24345.0,25000.0,34783.0,136930.0
20193,성북구,435361.0,211705.0,223656.0,70880.0,63237.0,62046.0,73292.0,68262.0,97644.0,36253.0,31224.0,30872.0,36519.0,33491.0,43346.0,34627.0,32013.0,31174.0,36773.0,34771.0,54298.0,185793.0
20193,강북구,319768.0,156376.0,163392.0,44055.0,43757.0,43651.0,50814.0,54310.0,83181.0,22671.0,21733.0,22891.0,25824.0,26413.0,36844.0,21384.0,22024.0,20760.0,24990.0,27897.0,46337.0,143242.0
20193,중구,118801.0,58710.0,60091.0,13997.0,17134.0,19015.0,17837.0,20085.0,30733.0,7050.0,8465.0,9648.0,9229.0,10273.0,14045.0,6947.0,8669.0,9367.0,8608.0,9812.0,16688.0,58403.0
20193,노원구,543369.0,263683.0,279686.0,97877.0,75730.0,71195.0,93707.0,89842.0,115018.0,50694.0,39160.0,35349.0,44806.0,43562.0,50112.0,47183.0,36570.0,35846.0,48901.0,46280.0,64906.0,216058.0
20193,광진구,355498.0,172750.0,182748.0,51890.0,60969.0,60626.0,56179.0,56645.0,69189.0,26595.0,29201.0,29986.0,27676.0,27592.0,31700.0,25295.0,31768.0,30640.0,28503.0,29053.0,37489.0,162119.0
20193,도봉구,338253.0,165643.0,172610.0,51297.0,45892.0,45517.0,52893.0,59420.0,83234.0,26457.0,23545.0,23265.0,26028.0,28322.0,38026.0,24840.0,22347.0,22252.0,26865.0,31098.0,45208.0,137261.0
20193,중랑구,402969.0,200395.0,202574.0,56604.0,57149.0,62126.0,61385.0,72065.0,93640.0,29037.0,28869.0,32184.0,31600.0,35550.0,43155.0,27567.0,28280.0,29942.0,29785.0,36515.0,50485.0,179738.0
20193,강동구,427463.0,211882.0,215581.0,70452.0,58172.0,67395.0,68829.0,71131.0,91484.0,36877.0,29614.0,33908.0,34497.0,34577.0,42409.0,33575.0,28558.0,33487.0,34332.0,36554.0,49075.0,176676.0
20193,동대문구,343514.0,171352.0,172162.0,48170.0,53558.0,51564.0,53084.0,54868.0,82270.0,24639.0,27411.0,26695.0,27405.0,27552.0,37650.0,23531.0,26147.0,24869.0,25679.0,27316.0,44620.0,159751.0
20194,서대문구,308632.0,148322.0,160310.0,44750.0,48521.0,44495.0,48117.0,49346.0,73403.0,22704.0,23655.0,22114.0,23825.0,23859.0,32165.0,22046.0,24866.0,22381.0,24292.0,25487.0,41238.0,139508.0
20194,양천구,458095.0,225213.0,232882.0,85347.0,61107.0,59750.0,80589.0,77623.0,93679.0,44298.0,31420.0,29312.0,38537.0,38649.0,42997.0,41049.0,29687.0,30438.0,42052.0,38974.0,50682.0,176916.0
20194,마포구,312462.0,147862.0,164600.0,48846.0,49102.0,54295.0,52101.0,44471.0,63647.0,24794.0,22446.0,25723.0,25482.0,21844.0,27573.0,24052.0,26656.0,28572.0,26619.0,22627.0,36074.0,143896.0
20194,서초구,423062.0,202315.0,220747.0,79932.0,55451.0,65442.0,77210.0,61843.0,83184.0,40970.0,26775.0,30025.0,36436.0,30203.0,37906.0,38962.0,28676.0,35417.0,40774.0,31640.0,45278.0,170128.0
20194,강남구,543181.0,259923.0,283258.0,98452.0,75553.0,85179.0,99492.0,80321.0,104184.0,51315.0,36382.0,38928.0,46256.0,39937.0,47105.0,47137.0,39171.0,46251.0,53236.0,40384.0,57079.0,231590.0
20194,송파구,675530.0,327044.0,348486.0,114892.0,95780.0,114429.0,110624.0,104613.0,135192.0,59143.0,46207.0,54941.0,53386.0,50439.0,62928.0,55749.0,49573.0,59488.0,57238.0,54174.0,72264.0,278057.0
20194,강동구,417848.0,206438.0,211410.0,66326.0,56905.0,63644.0,66902.0,68783.0,95288.0,34788.0,28703.0,31972.0,33408.0,33563.0,44004.0,31538.0,28202.0,31672.0,33494.0,35220.0,51284.0,176439.0
20194,종로구,150370.0,73316.0,77054.0,19691.0,23334.0,20249.0,22927.0,25607.0,38562.0,9955.0,11566.0,10028.0,11121.0,12886.0,17760.0,9736.0,11768.0,10221.0,11806.0,12721.0,20802.0,73446.0
20194,중구,124430.0,61178.0,63252.0,14532.0,17904.0,20101.0,18326.0,20770.0,32797.0,7403.0,8715.0,10075.0,9354.0,10584.0,15047.0,7129.0,9189.0,10026.0,8972.0,10186.0,17750.0,61517.0
20194,강북구,314135.0,153343.0,160792.0,41028.0,43308.0,41121.0,48961.0,53571.0,86146.0,21132.0,21359.0,21561.0,25014.0,26041.0,38236.0,19896.0,21949.0,19560.0,23947.0,27530.0,47910.0,144059.0
20194,도봉구,330674.0,161792.0,168882.0,47970.0,44532.0,42935.0,50600.0,58212.0,86425.0,24715.0,22845.0,21919.0,25017.0,27720.0,39576.0,23255.0,21687.0,21016.0,25583.0,30492.0,46849.0,136902.0
20194,노원구,535349.0,259146.0,276203.0,92653.0,75084.0,67534.0,90286.0,89407.0,120385.0,48027.0,38834.0,33530.0,43062.0,43319.0,52374.0,44626.0,36250.0,34004.0,47224.0,46088.0,68011.0,217605.0
20194,성북구,421718.0,204169.0,217549.0,66568.0,61673.0,58188.0,69561.0,67036.0,98692.0,34049.0,30064.0,28913.0,34386.0,32913.0,43844.0,32519.0,31609.0,29275.0,35175.0,34123.0,54848.0,182163.0
20194,성동구,301034.0,147387.0,153647.0,43355.0,45909.0,51011.0,47260.0,48452.0,65047.0,21907.0,22753.0,25165.0,23766.0,24234.0,29562.0,21448.0,23156.0,25846.0,23494.0,24218.0,35485.0,135593.0
20194,용산구,226437.0,109315.0,117122.0,30134.0,32435.0,37682.0,35874.0,36076.0,54236.0,15478.0,15640.0,18834.0,17667.0,17825.0,23871.0,14656.0,16795.0,18848.0,18207.0,18251.0,30365.0,108908.0
20194,광진구,350916.0,170125.0,180791.0,49130.0,61176.0,58242.0,54490.0,55682.0,72196.0,25110.0,29203.0,28788.0,26899.0,27147.0,32978.0,24020.0,31973.0,29454.0,27591.0,28535.0,39218.0,163696.0
20194,동대문구,341584.0,169896.0,171688.0,46480.0,53906.0,50450.0,51859.0,53986.0,84903.0,23735.0,27295.0,26117.0,26759.0,27126.0,38864.0,22745.0,26611.0,24333.0,25100.0,26860.0,46039.0,161716.0
20194,중랑구,396233.0,196600.0,199633.0,53098.0,55868.0,59266.0,59352.0,70722.0,97927.0,27255.0,28041.0,30626.0,30567.0,34951.0,45160.0,25843.0,27827.0,28640.0,28785.0,35771.0,52767.0,180683.0
20194,구로구,397157.0,196307.0,200850.0,59644.0,54026.0,61975.0,63298.0,63206.0,95008.0,30586.0,26661.0,31511.0,32515.0,31115.0,43919.0,29058.0,27365.0,30464.0,30783.0,32091.0,51089.0,172206.0
20194,강서구,591467.0,286547.0,304920.0,91422.0,86496.0,103028.0,93456.0,89191.0,127874.0,46703.0,40933.0,52169.0,46954.0,42391.0,57397.0,44719.0,45563.0,50859.0,46502.0,46800.0,70477.0,261572.0
20194,은평구,475571.0,229390.0,246181.0,71374.0,65276.0,68578.0,77492.0,77012.0,115839.0,36595.0,31939.0,34095.0,38272.0,37055.0,51434.0,34779.0,33337.0,34483.0,39220.0,39957.0,64405.0,205349.0
20194,영등포구,363820.0,180540.0,183280.0,49826.0,55250.0,65026.0,55162.0,55812.0,82744.0,25787.0,26305.0,33430.0,28387.0,28243.0,38388.0,24039.0,28945.0,31596.0,26775.0,27569.0,44356.0,172071.0
20194,금천구,232580.0,118087.0,114493.0,29564.0,35941.0,35602.0,34253.0,41348.0,55872.0,15092.0,18516.0,19628.0,17842.0,20813.0,26196.0,14472.0,17425.0,15974.0,16411.0,20535.0,29676.0,110124.0
20194,관악구,500067.0,250903.0,249164.0,55669.0,106738.0,89309.0,70990.0,69595.0,107766.0,28678.0,52167.0,48899.0,37856.0,34478.0,48825.0,26991.0,54571.0,40410.0,33134.0,35117.0,58941.0,267910.0
20194,동작구,396818.0,192507.0,204311.0,56072.0,66143.0,64552.0,60720.0,59354.0,89977.0,28680.0,32385.0,32599.0,30477.0,28398.0,39968.0,27392.0,33758.0,31953.0,30243.0,30956.0,50009.0,180678.0
20201,은평구,475571.0,229390.0,246181.0,71374.0,65276.0,68578.0,77492.0,77012.0,115839.0,36595.0,31939.0,34095.0,38272.0,37055.0,51434.0,34779.0,33337.0,34483.0,39220.0,39957.0,64405.0,205349.0
20201,마포구,312462.0,147862.0,164600.0,48846.0,49102.0,54295.0,52101.0,44471.0,63647.0,24794.0,22446.0,25723.0,25482.0,21844.0,27573.0,24052.0,26656.0,28572.0,26619.0,22627.0,36074.0,143896.0
20201,양천구,458095.0,225213.0,232882.0,85347.0,61107.0,59750.0,80589.0,77623.0,93679.0,44298.0,31420.0,29312.0,38537.0,38649.0,42997.0,41049.0,29687.0,30438.0,42052.0,38974.0,50682.0,176916.0
20201,동대문구,341584.0,169896.0,171688.0,46480.0,53906.0,50450.0,51859.0,53986.0,84903.0,23735.0,27295.0,26117.0,26759.0,27126.0,38864.0,22745.0,26611.0,24333.0,25100.0,26860.0,46039.0,161716.0
20201,중구,124430.0,61178.0,63252.0,14532.0,17904.0,20101.0,18326.0,20770.0,32797.0,7403.0,8715.0,10075.0,9354.0,10584.0,15047.0,7129.0,9189.0,10026.0,8972.0,10186.0,17750.0,61517.0
20201,노원구,535349.0,259146.0,276203.0,92653.0,75084.0,67534.0,90286.0,89407.0,120385.0,48027.0,38834.0,33530.0,43062.0,43319.0,52374.0,44626.0,36250.0,34004.0,47224.0,46088.0,68011.0,217605.0
20201,도봉구,330674.0,161792.0,168882.0,47970.0,44532.0,42935.0,50600.0,58212.0,86425.0,24715.0,22845.0,21919.0,25017.0,27720.0,39576.0,23255.0,21687.0,21016.0,25583.0,30492.0,46849.0,136902.0
20201,종로구,150370.0,73316.0,77054.0,19691.0,23334.0,20249.0,22927.0,25607.0,38562.0,9955.0,11566.0,10028.0,11121.0,12886.0,17760.0,9736.0,11768.0,10221.0,11806.0,12721.0,20802.0,73446.0
20201,용산구,226437.0,109315.0,117122.0,30134.0,32435.0,37682.0,35874.0,36076.0,54236.0,15478.0,15640.0,18834.0,17667.0,17825.0,23871.0,14656.0,16795.0,18848.0,18207.0,18251.0,30365.0,108908.0
20201,중랑구,396233.0,196600.0,199633.0,53098.0,55868.0,59266.0,59352.0,70722.0,97927.0,27255.0,28041.0,30626.0,30567.0,34951.0,45160.0,25843.0,27827.0,28640.0,28785.0,35771.0,52767.0,180683.0
20201,광진구,350916.0,170125.0,180791.0,49130.0,61176.0,58242.0,54490.0,55682.0,72196.0,25110.0,29203.0,28788.0,26899.0,27147.0,32978.0,24020.0,31973.0,29454.0,27591.0,28535.0,39218.0,163696.0
