기준_년분기_코드,자치구_코드_명,전체임대료
20204,강북구,80015
20204,성북구,88230
20204,중랑구,84466
20204,동대문구,88218
20204,광진구,94783
20204,성동구,105462
20204,용산구,118621
20204,중구,240380
20204,서대문구,101811
20204,마포구,128470
20211,송파구,117175
20211,광진구,70922
20211,종로구,136242
20211,중구,223571
20211,용산구,98521
20211,성동구,91543
20211,동대문구,62440
20211,중랑구,69774
20211,성북구,63418
20211,강북구,58620
20211,도봉구,56146
20211,노원구,64935
20211,은평구,66005
20211,강동구,74446
20211,마포구,105779
20211,양천구,74373
20211,강서구,75203
20211,구로구,89527
20211,금천구,88490
20211,영등포구,83524
20211,동작구,77200
20211,관악구,77836
20211,서초구,107901
20211,강남구,116176
20211,서대문구,74020
20212,서대문구,103918
20212,은평구,86457
20212,노원구,95496
20212,도봉구,76683
20212,광진구,96656
20212,성북구,90713
20212,중랑구,89873
20212,동대문구,91289
20212,마포구,133303
20212,성동구,117655
20212,강북구,80273
20212,양천구,98397
20212,동작구,110186
20212,구로구,97783
20212,금천구,107747
20212,영등포구,104205
20212,관악구,103540
20212,서초구,127061
20212,강남구,149499
20212,송파구,156502
20212,강동구,100028
20212,종로구,165171
20212,용산구,119769
20212,강서구,110374
20212,중구,219918
20213,종로구,171612
20213,중구,223773
20213,강동구,101279
20213,용산구,122682
20213,성동구,122059
20213,광진구,101067
20213,동대문구,93444
20213,중랑구,90648
20213,강북구,84915
20213,도봉구,80695
20213,노원구,98390
20213,은평구,91664
20213,서대문구,109684
20213,성북구,94592
20213,양천구,101719
20213,강서구,113396
20213,구로구,101003
20213,금천구,106915
20213,영등포구,106931
20213,동작구,113114
20213,관악구,106099
20213,서초구,128173
20213,강남구,148812
20213,송파구,153066
20213,마포구,135933
20214,강서구,118852
20214,구로구,101315
20214,금천구,108056
20214,영등포구,110217
20214,동작구,130118
20214,강동구,106353
20214,서초구,128544
20214,강남구,150923
20214,송파구,153891
20214,양천구,103309
20214,관악구,107310
20214,마포구,139995
20214,중랑구,84927
20214,은평구,96815
20214,서대문구,114173
20214,중구,229682
20214,용산구,125736
20214,성동구,128099
20214,광진구,107323
20214,종로구,177511
20214,성북구,99058
20214,강북구,89810
20214,도봉구,84510
20214,노원구,102629
20214,동대문구,95064
20221,마포구,142020
20221,양천구,105938
20221,강서구,118576
20221,구로구,106097
20221,금천구,102408
20221,관악구,110547
20221,동작구,131808
20221,서초구,128332
20221,강남구,151537
20221,송파구,151705
20221,영등포구,111445
20221,서대문구,115323
20221,강동구,107021
20221,노원구,106014
20221,종로구,183433
20221,중구,231615
20221,용산구,130021
20221,성동구,127864
20221,광진구,110132
20221,은평구,100940
20221,중랑구,86675
20221,성북구,104496
20221,강북구,91034
20221,도봉구,86900
20221,동대문구,95402
20222,은평구,104371
20222,용산구,137701
20222,성동구,134990
20222,광진구,112800
20222,동대문구,92915
20222,중랑구,87580
20222,성북구,106288
20222,강북구,93343
20222,도봉구,90393
20222,노원구,109781
20222,서대문구,105969
20222,동작구,155213
20222,양천구,104720
20222,강서구,118468
20222,구로구,118674
20222,금천구,92108
20222,중구,240311
20222,관악구,111243
20222,서초구,133877
20222,강남구,164298
20222,송파구,159594
20222,강동구,107492
20222,마포구,147891
20222,종로구,198534
20222,영등포구,110516
20223,송파구,167367
20223,강동구,111342
20223,종로구,203586
20223,중구,260298
20223,용산구,135662
20223,성동구,160420
20223,광진구,113264
20223,동대문구,96065
20223,중랑구,87818
20223,성북구,105457
20223,강북구,90954
20223,도봉구,89789
20223,노원구,116772
20223,은평구,105389
20223,서대문구,115449
20223,마포구,162792
20223,양천구,104033
20223,강서구,114428
20223,구로구,134608
20223,금천구,94403
20223,영등포구,113735
20223,동작구,135775
20223,관악구,108903
20223,서초구,134368
20223,강남구,171725
20224,강동구,112843
20224,송파구,172451
20224,강남구,174260
20224,관악구,107209
20224,동작구,131421
20224,영등포구,115800
20224,금천구,96098
20224,구로구,138304
20224,강서구,122702
20224,양천구,108895
20224,마포구,163022
20224,서대문구,119913
20224,서초구,138922
20224,은평구,101765
20224,도봉구,91737
20224,강북구,90159
20224,성북구,102762
20224,중랑구,85954
20224,동대문구,95276
20224,광진구,112871
20224,성동구,178968
20224,용산구,142406
20224,중구,275398
20224,노원구,121581
20224,종로구,195850
20231,강동구,116737
20231,서초구,142051
20231,중구,291943
20231,관악구,112783
20231,동작구,132719
20231,영등포구,117567
20231,금천구,99390
20231,구로구,135428
20231,강서구,130369
20231,양천구,109483
20231,마포구,167493
20231,서대문구,125736
20231,종로구,194714
20231,은평구,99050
20231,도봉구,102594
20231,강북구,83872
20231,성북구,101887
20231,중랑구,83917
20231,송파구,170118
20231,동대문구,96876
20231,광진구,111289
20231,성동구,205485
20231,용산구,144120
20231,노원구,123834
20231,강남구,174024
20232,은평구,93629
20232,송파구,146868
20232,서초구,139196
20232,관악구,114779
20232,동작구,131720
20232,영등포구,122432
20232,금천구,105422
20232,구로구,129738
20232,강서구,133012
20232,양천구,119317
20232,마포구,141777
20232,서대문구,127009
20232,노원구,116570
20232,도봉구,124755
20232,강북구,84816
20232,성북구,99996
20232,중랑구,82183
20232,동대문구,94172
20232,광진구,106205
20232,성동구,225218
20232,용산구,142058
20232,중구,292292
20232,종로구,197186
20232,강남구,173069
20232,강동구,118777
20233,강남구,170684
20233,중구,277839
20233,서초구,134978
20233,관악구,115782
20233,동작구,144797
20233,영등포구,118001
20233,금천구,107607
20233,구로구,133486
20233,강서구,123036
20233,양천구,115840
20233,마포구,135340
20233,종로구,200889
20233,서대문구,130294
20233,노원구,114559
20233,도봉구,132253
20233,강북구,82743
20233,성북구,106443
20233,강동구,119949
20233,동대문구,92442
20233,광진구,103816
20233,성동구,195176
20233,용산구,140096
20233,은평구,92679
20233,송파구,136609
20233,중랑구,87387
20234,서대문구,140149
20234,종로구,201913
20234,용산구,137168
20234,성동구,183176
20234,광진구,105832
20234,동대문구,91323
20234,중랑구,89367
20234,성북구,111041
20234,강북구,82972
20234,도봉구,131424
20234,노원구,112598
20234,은평구,94233
20234,중구,276336
20234,서초구,135964
20234,양천구,114166
20234,강서구,125771
20234,구로구,133081
20234,금천구,105720
20234,영등포구,116895
20234,동작구,141411
20234,관악구,117480
20234,마포구,138163
20234,강남구,171151
20234,송파구,128877
20234,강동구,121075
20241,강서구,127024
20241,광진구,106228
20241,마포구,140886
20241,양천구,112408
20241,구로구,135123
20241,서초구,136637
20241,영등포구,118742
20241,동작구,141069
20241,관악구,116083
20241,서대문구,144423
